;Siachen Glacier (frozen);Nagorno-Karabakh (frozen);Mongolia (frozen);India (frozen);Nepal (frozen);Philippines (frozen)
2000-01-01;-1,783514;-10,418864;0,874066;2,557079;6,70943;2,603432
2000-02-01;-2,663172;-6,536228;0,963575;3,218067;4,088909;0,811357
2000-03-01;-0,714549;0,440729;1,025118;0,787823;0,863785;-0,325186
2000-04-01;-0,284229;5,031323;1,095883;-1,076234;-3,961623;-1,540206
2000-05-01;-0,628381;7,15341;1,075266;-1,609916;-6,791604;-1,760111
2000-06-01;0,037837;8,383589;1,067886;-2,413623;-5,837957;-1,678781
2000-07-01;-0,350681;5,422404;1,083076;-2,978632;-3,669174;-1,482386
2000-08-01;1,27993;3,038526;1,052426;-2,115404;-2,982613;-0,643227
2000-09-01;2,979842;-0,715785;0,969653;-0,461453;-0,921436;-0,095951
2000-10-01;2,673783;-1,695847;0,971104;0,65977;3,946784;0,578339
2000-11-01;0,309148;-4,144542;0,931464;1,497268;4,223364;1,404818
2000-12-01;-0,818341;-5,877882;0,894019;1,892978;4,174403;2,071343
2001-01-01;-1,75474;-10,428045;0,872445;2,548755;6,545768;2,543247
2001-02-01;-2,693524;-6,590678;0,959939;3,174457;4,380928;0,814623
2001-03-01;-0,800961;0,430209;1,023587;0,828937;1,089475;-0,209759
2001-04-01;-0,327676;5,026682;1,094269;-1,019022;-3,832154;-1,494219
2001-05-01;-0,587754;7,063265;1,076064;-1,585544;-6,798002;-1,698086
2001-06-01;0,055173;8,193589;1,067999;-2,318658;-5,795624;-1,65478
2001-07-01;-0,292891;5,358981;1,082689;-2,881874;-3,97496;-1,477229
2001-08-01;1,257938;3,275051;1,053921;-2,108011;-2,885705;-0,627495
2001-09-01;2,879716;-0,541227;0,976187;-0,60152;-0,789567;-0,037112
2001-10-01;2,580824;-1,570893;0,972661;0,446765;3,560923;0,431048
2001-11-01;0,493473;-4,054552;0,93454;1,484811;3,905469;1,167868
2001-12-01;-0,693059;-5,843438;0,894888;1,936372;3,862916;1,961443
2002-01-01;-1,563041;-10,56662;0,868503;2,456827;6,486858;2,372854
2002-02-01;-2,748092;-6,783439;0,953511;3,076054;4,885788;0,891495
2002-03-01;-1,027288;0,481669;1,018915;0,932509;1,544696;0,139304
2002-04-01;-0,555275;5,096321;1,091391;-0,862853;-3,599682;-1,297707
2002-05-01;-0,551035;6,849576;1,076742;-1,524221;-6,695579;-1,605226
2002-06-01;0,127398;7,661348;1,067001;-2,119047;-5,489296;-1,67574
2002-07-01;-0,145713;5,249169;1,082699;-2,691347;-4,530391;-1,450035
2002-08-01;1,266118;3,677742;1,056493;-2,044311;-2,821593;-0,584626
2002-09-01;2,718512;-0,092806;0,986302;-0,804682;-0,676948;-0,011365
2002-10-01;2,392245;-1,268308;0,976066;0,039055;3,115757;0,16074
2002-11-01;0,728632;-3,880633;0,938776;1,38011;3,401478;0,79898
2002-12-01;-0,4623;-5,753734;0,897968;2,000529;3,463368;1,756518
2003-01-01;-1,438553;-10,805889;0,864952;2,295726;6,369023;2,253584
2003-02-01;-2,911928;-7,147845;0,945015;2,873728;5,293481;1,07069
2003-03-01;-1,15634;0,385271;1,012498;1,069004;1,99782;0,545453
2003-04-01;-0,708202;5,068441;1,084473;-0,584443;-3,061666;-1,011586
2003-05-01;-0,434928;6,548585;1,076404;-1,398626;-6,321139;-1,445764
2003-06-01;0,082597;7,005428;1,06557;-1,889463;-4,993814;-1,686148
2003-07-01;-0,002077;5,341883;1,080876;-2,433712;-5,22619;-1,441611
2003-08-01;1,30273;4,147341;1,05999;-1,885975;-2,944369;-0,700859
2003-09-01;2,509432;0,683925;0,996586;-0,9449;-0,747141;-0,048554
2003-10-01;2,077246;-0,991465;0,982862;-0,306702;2,496762;-0,129571
2003-11-01;0,879765;-3,724699;0,946591;1,13031;2,967974;0,435984
2003-12-01;-0,117432;-5,621975;0,903729;1,910655;3,190633;1,58805
2004-01-01;-1,197734;-11,01891;0,860819;1,972789;6,609581;2,256741
2004-02-01;-2,958958;-7,741877;0,937873;2,555493;5,5751;1,202951
2004-03-01;-1,289655;0,107425;1,003124;1,257121;2,05961;0,912197
2004-04-01;-0,961722;5,045147;1,075953;-0,166112;-2,588473;-0,58947
2004-05-01;-0,341022;6,193714;1,070918;-1,202942;-5,702866;-1,314536
2004-06-01;0,032702;6,326506;1,062678;-1,708332;-4,622845;-1,734577
2004-07-01;0,188894;5,552566;1,080853;-2,155241;-5,523307;-1,454075
2004-08-01;1,373356;4,589279;1,064781;-1,604541;-3,21406;-0,890382
2004-09-01;2,302846;1,620686;1,005245;-0,899378;-1,040741;-0,21073
2004-10-01;1,715712;-0,523113;0,994971;-0,559685;2,040182;-0,38155
2004-11-01;0,879449;-3,434064;0,954916;0,694313;2,768736;0,208024
2004-12-01;0,177047;-5,539987;0,908945;1,599074;2,93916;1,495415
2005-01-01;-1,077078;-11,09396;0,857047;1,543449;6,631174;2,393269
